Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  03:23:00,20.4,20.403248195717685 
 01/25  03:24:00,20.4,20.403248195717717 
 01/25  03:25:00,20.4,20.403248195717685 
 01/25  03:26:00,20.4,20.403248195717607 
 01/25  03:27:00,20.4,20.403248195717489 
 01/25  03:28:00,20.4,20.403248195717354 
 01/25  03:29:00,20.4,20.40324819571721 
 01/25  03:30:00,20.4,20.403248195717077 
 01/25  03:31:00,20.4,20.403248195716956 
 01/25  03:32:00,20.4,20.403248195716853 
 01/25  03:33:00,20.4,20.40324819571676 
 01/25  03:34:00,20.4,20.40324819571667 
 01/25  03:35:00,20.4,20.403248195716576 
 01/25  03:36:00,20.4,20.40324819571647 
 01/25  03:37:00,20.4,20.403248195716335 
 01/25  03:38:00,20.4,20.403248195716168 
 01/25  03:39:00,20.4,20.40324819571595 
 01/25  03:40:00,20.4,20.40324819571568 
 01/25  03:41:00,20.4,20.40324819571535 
 01/25  03:42:00,20.4,20.40324819571495 
 01/25  03:43:00,20.4,20.40324819571449 
 01/25  03:44:00,20.4,20.40324819571396 
 01/25  03:45:00,20.4,20.40324819571336 
 01/25  03:46:00,20.4,20.403248195712693 
 01/25  03:47:00,20.4,20.403248195711976 
 01/25  03:48:00,20.4,20.40324819571121 
 01/25  03:49:00,20.4,20.403248195710409 
 01/25  03:50:00,20.4,20.40324819570958 
 01/25  03:51:00,20.4,20.40324819570873 
 01/25  03:52:00,20.4,20.40324819570787 
 01/25  03:53:00,20.4,20.403248195707005 
 01/25  03:54:00,20.4,20.403248195706135 
 01/25  03:55:00,20.4,20.403248195705264 
 01/25  03:56:00,20.4,20.403248195704405 
 01/25  03:57:00,20.4,20.403248195703559 
 01/25  03:58:00,20.4,20.403248195702746 
 01/25  03:59:00,20.4,20.40324819570197 
 01/25  04:00:00,20.4,20.40324819570125 
 01/25  04:01:00,20.4,20.403248195700586 
 01/25  04:02:00,20.4,20.403248195699985 
 01/25  04:03:00,20.4,20.403248195699445 
 01/25  04:04:00,20.4,20.403248195698976 
 01/25  04:05:00,20.4,20.403248195698589 
 01/25  04:06:00,20.4,20.403248195698287 
 01/25  04:07:00,20.4,20.403248195698084 
 01/25  04:08:00,20.4,20.403248195697978 
 01/25  04:09:00,20.4,20.403248195697978 
 01/25  04:10:00,20.4,20.403248195698088 
 01/25  04:11:00,20.4,20.403248195698305 
 01/25  04:12:00,20.4,20.40324819569863 
 01/25  04:13:00,20.4,20.403248195699065 
 01/25  04:14:00,20.4,20.40324819569961 
 01/25  04:15:00,20.4,20.40324819570027 
 01/25  04:16:00,20.4,20.403248195701044 
 01/25  04:17:00,20.4,20.40324819570192 
 01/25  04:18:00,20.4,20.40324819570289 
 01/25  04:19:00,20.4,20.403248195703939 
 01/25  04:20:00,20.4,20.403248195705055 
 01/25  04:21:00,20.4,20.403248195706217 
 01/25  04:22:00,20.4,20.40324819570741 
 01/25  04:23:00,20.4,20.40324819570862 
 01/25  04:24:00,20.4,20.40324819570983 
 01/25  04:25:00,20.4,20.40324819571103 
 01/25  04:26:00,20.4,20.40324819571222 
 01/25  04:27:00,20.4,20.403248195713389 
 01/25  04:28:00,20.4,20.40324819571454 
 01/25  04:29:00,20.4,20.40324819571568 
 01/25  04:30:00,20.4,20.403248195716807 
 01/25  04:31:00,20.4,20.403248195717919 
 01/25  04:32:00,20.4,20.403248195719024 
 01/25  04:33:00,20.4,20.403248195720129 
 01/25  04:34:00,20.4,20.403248195721245 
 01/25  04:35:00,20.4,20.403248195722364 
 01/25  04:36:00,20.4,20.403248195723493 
 01/25  04:37:00,20.4,20.40324819572463 
 01/25  04:38:00,20.4,20.403248195725774 
 01/25  04:39:00,20.4,20.40324819572691 
 01/25  04:40:00,20.4,20.403248195728037 
 01/25  04:41:00,20.4,20.403248195729156 
 01/25  04:42:00,20.4,20.403248195730265 
 01/25  04:43:00,20.4,20.403248195731356 
 01/25  04:44:00,20.4,20.403248195732425 
 01/25  04:45:00,20.4,20.403248195733477 
 01/25  04:46:00,20.4,20.403248195734517 
 01/25  04:47:00,20.4,20.403248195735548 
 01/25  04:48:00,20.4,20.403248195736585 
 01/25  04:49:00,20.4,20.403248195737637 
 01/25  04:50:00,20.4,20.40324819573871 
 01/25  04:51:00,20.4,20.40324819573981 
 01/25  04:52:00,20.4,20.403248195740959 
 01/25  04:53:00,20.4,20.40324819574215 
 01/25  04:54:00,20.4,20.403248195743396 
 01/25  04:55:00,20.4,20.40324819574468 
 01/25  04:56:00,20.4,20.403248195746 
 01/25  04:57:00,20.4,20.40324819574733 
 01/25  04:58:00,20.4,20.403248195748668 
 01/25  04:59:00,20.4,20.40324819574998 
