Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE 2:Surface Inside Face Temperature [C](TimeStep),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  04:43:00,20.4,22.252869572913955,20.445535247393202,22.339999999999993 
 01/25  04:44:00,20.4,22.252869572948228,20.445535247441743,22.34 
 01/25  04:45:00,20.4,22.25286957297087,20.445535247491687,22.339999999999996 
 01/25  04:46:00,20.4,22.25286957298151,20.445535247542168,22.339999999999996 
 01/25  04:47:00,20.4,22.252869572980195,20.445535247592368,22.339999999999996 
 01/25  04:48:00,20.4,22.25286957296729,20.445535247641597,22.339999999999996 
 01/25  04:49:00,20.4,22.25286957294343,20.44553524768935,22.34 
 01/25  04:50:00,20.4,22.252869572909464,20.44553524773522,22.339999999999996 
 01/25  04:51:00,20.4,22.252869572866476,20.44553524777886,22.34 
 01/25  04:52:00,20.4,22.252869572815733,20.445535247819866,22.339999999999996 
 01/25  04:53:00,20.4,22.25286957275857,20.44553524785776,22.339999999999996 
 01/25  04:54:00,20.4,22.252869572696287,20.445535247892014,22.339999999999993 
 01/25  04:55:00,20.4,22.252869572630143,20.44553524792217,22.34 
 01/25  04:56:00,20.4,22.252869572561366,20.44553524794795,22.34 
 01/25  04:57:00,20.4,22.252869572491154,20.445535247969392,22.339999999999993 
 01/25  04:58:00,20.4,22.252869572420593,20.44553524798685,22.339999999999996 
