Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  09:34:00,20.4,22.34 
 01/25  09:35:00,20.4,22.340000000000003 
 01/25  09:36:00,20.4,22.34 
 01/25  09:37:00,20.4,22.34 
 01/25  09:38:00,20.4,22.340000000000003 
 01/25  09:39:00,20.4,22.34 
 01/25  09:40:00,20.4,22.340000000000003 
 01/25  09:41:00,20.4,22.340000000000003 
 01/25  09:42:00,20.4,22.34 
 01/25  09:43:00,20.4,22.340000000000003 
 01/25  09:44:00,20.4,22.340000000000003 
 01/25  09:45:00,20.4,22.340000000000003 
 01/25  09:46:00,20.4,22.340000000000003 
 01/25  09:47:00,20.4,22.34 
 01/25  09:48:00,20.4,22.34 
 01/25  09:49:00,20.4,22.34 
 01/25  09:50:00,20.4,22.340000000000003 
 01/25  09:51:00,20.4,22.34 
 01/25  09:52:00,20.4,22.34 
 01/25  09:53:00,20.4,22.34 
 01/25  09:54:00,20.4,22.34 
 01/25  09:55:00,20.4,22.34 
 01/25  09:56:00,20.4,22.340000000000003 
 01/25  09:57:00,20.4,22.34 
 01/25  09:58:00,20.4,22.34 
 01/25  09:59:00,20.4,22.340000000000003 
 01/25  10:00:00,20.4,22.340000000000003 
 01/25  10:01:00,20.4,22.34 
 01/25  10:02:00,20.4,22.34 
 01/25  10:03:00,20.4,22.34 
 01/25  10:04:00,20.4,22.340000000000003 
 01/25  10:05:00,20.4,22.34 
 01/25  10:06:00,20.4,22.340000000000007 
 01/25  10:07:00,20.4,22.34 
 01/25  10:08:00,20.4,22.34 
 01/25  10:09:00,20.4,22.34 
 01/25  10:10:00,20.4,22.340000000000003 
 01/25  10:11:00,20.4,22.34 
 01/25  10:12:00,20.4,22.340000000000003 
 01/25  10:13:00,20.4,22.34 
 01/25  10:14:00,20.4,22.34 
 01/25  10:15:00,20.4,22.34 
 01/25  10:16:00,20.4,22.34 
 01/25  10:17:00,20.4,22.34 
 01/25  10:18:00,20.4,22.34 
 01/25  10:19:00,20.4,22.340000000000003 
 01/25  10:20:00,20.4,22.34 
 01/25  10:21:00,20.4,22.34 
 01/25  10:22:00,20.4,22.340000000000003 
 01/25  10:23:00,20.4,22.34 
 01/25  10:24:00,20.4,22.340000000000003 
 01/25  10:25:00,20.4,22.34 
 01/25  10:26:00,20.4,22.34 
 01/25  10:27:00,20.4,22.34 
